Lexème vedette,Suppr,Ajout,Corr,Fini,Genre ou variation en genre,Patron de variation du genre,Autre patron de variation,Structure morphologique,Formation morphologique,Suffixe,Classe sémantique,Sous-classe sémantique,Définition courante,Définition juridique,Contributeur ou Contributrice
opprimé,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,personne qui est victime d'oppression,,LG
opticien,,,,,V,-en/-enne,,C,Dérivation,ien,N d'Agent,N de Profession ,personne qui fabrique et vend des instruments d'optique et des verres correcteurs,,LG
opticien-lunetier,,,,,V,-en/-enne,,C,Composition,NP,N d'Agent,N de Profession ,"personne qui réalise, répare et vend des lunettes",,LG
ordure,,,,,F,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,personne qui est vile et abjecte,,LG
organiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N d’Interprète,personne qui joue de l'orgue,,LG
orléanais,,,,,V,-/-e,,C,Dérivation,ais,N d’Habitant, Ville,personne qui habite la ville d'Orléans,,LG
orlysien,,,,,V,-en/-enne,,C,Dérivation,ien,N d’Habitant, Ville,personne qui habite la ville d'Orly,,LG
ornais,,,,,V,-/-e,,C,Dérivation,ais,N d’Habitant,Région ,personne qui habite dans l'Orne,,LG
orphelin,,,,,V,-/-e,,NC,NP,NP,N Relationnel ,Parenté,personne (enfant) qui a perdu un de ses parents ou les deux,,LG
oublié,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,personne qui est tombée dans l'oubli,,LG
outlaw,,,,,M,NP,,C,Emprunt,NP,N de Caractérisant,N de Défaut moral,personne qui vit en marge des lois,,LG
pacotilleur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui fabrique et vend des objets de mauvaise qualité,,LH
papa,,,,,M,NP,,C,Réduplication,NP,N Relationnel ,Parenté,Nom familier et affectueux donné au père apar son enfant.,,LH
parâtre,,,,,M,NP,,C,Dérivation,âtre,N Relationnel ,Parenté,Second mari de la mère. ,,LH
parolier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Celui ou celle qui écrit les paroles d'une chanson ou d'un opéra,,LH
pâtissier,,,,,V,-er/-ère,,C,Dérivation,er,N d'Agent,N de Spécialité,Personne qui fait de la pâtisserie ,,LH
peintre anticorrosion,,,,,E,NP,,P,NP,NP,N d'Agent,N de Spécialité,Peintre en bâtiment qui traite des surfaces contre la corrosion,,LH
pelotari,,,,,M,Autre,-i / is,C,Emprunt,NP,N d'Agent,N de Pratique ,Joueur de la pelote basque,,LH
penaillon,,,,,M,NP,,NC,NP,NP,N de Caractérisant,,Vieilli. Celui qui porte des guenilles,,LH
pendu,,,,,V,Autre,u / ue,C,Conversion,NP,N de Patient/Déverbal passif,,Personne morte par pendaison,,LH
pénitent,,,,,V,-/-e,,C,Conversion,NP,N d’Adepte/de Partisan,,Personne qui se repent de ses péchés ,,LH
penseur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Pratique ,Celui qui se voue à des réflexions poussées,,LH
penseux,,,,,V,-eux/-euse,,C,Dérivation,eux,N de Caractérisant,N de Défaut moral,Personne qui croit penser profondément.,,LH
pépé,,,,,M,NP,,C,Réduplication,NP,N Relationnel ,Parenté,Nom affectueux pour désigner le grand-père,,LH
pépiniériste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Jardinier.e qui cultive dans une pépinière,,LH
percepteur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,N de Profession ,Fonctionnaire chargé du recouvrement des impôts directs.,,LH
perchman,,,,,V,Autre,man / woman,C,Composition,NP,N d'Agent,N de Profession ,Opérateur/trice chargé de la prise du son sur un plateau de tournage ou d'interview.,,LH
percussionniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Personne qui joue des percussions,,LH
perdant,,,,,V,-/-e,,C,Dérivation,ant,N de Caractérisant,,Celui ou celle qui perd.,,LH
périphraseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Celui ou celle qui fait des périphrases,,LH
permaculteur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui pratique la permaculture,,LH
permissionnaire,,,,,E,NP,,C,Dérivation,aire,N de Bénéficiaire,,Soldat qui a droit ou qui est en permission,,LH
perquisiteur,,,,,V,-eur/-rice,,C,Dérivation,teur,N d'Agent,N de Pratique ,Personne qui fait des perquisitions,,LH
perquisitionné,,,,,V,-/-e,,C,Conversion,NP,N de Bénéficiaire,,Personne qui subit la perquisition,,LH
perroquet,,,,,M,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,Personne qui répète tout ce qui est dit,,LH
persiffleur ou persifleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral,Quelqu'un qui se moque ,,LH
persona grata,,,,,F,NP,,C,Emprunt,NP,N de Caractérisant,,Personne désirable ou bienvenue,,LH
Péruvien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Pays,Personne habitant le Pérou et/ou de nationalité péruvienne,,LH
perverti,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui a été corrompue,,LH
péteux,,,,,V,-eux/-euse,,C,Dérivation,eux,N de Caractérisant,N de Défaut moral,Personne qui frime,,LH
pétissier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Orfèvre qui fait des couverts en argent.,,LH
petit-cousin,,,,,V,-/-e,,C,Composition,NP,N Relationnel ,Parenté,Enfant de la cousine ou du cousin,,LH
pétuneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d’Adepte/de Partisan,,Personne qui aime fumer,,LH
peureux,,,,,V,-eux/-euse,,C,Conversion,NP,N de Caractérisant,N de Défaut moral,Personne qui a peur,,LH
philanthrope,,,,,E,NP,,C,Emprunt,NP,N de Caractérisant,N de Qualité morale,Personne qui œuvre pour le bonheur de ses semblables,,LH
phonéticien,,,,,V,-en/-enne,,C,Dérivation,en,N d'Agent,N de Profession ,Professionnel.le qui étudie la phonétique,,LH
pillard,,,,,M,NP,,C,Dérivation,ard,N d'Agent,N de Pratique ,Personne qui pille. ,,LH
pique-niqueur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui fait un pique-nique,,LH
pistonné,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui bénéficie d'un piston,,LH
plasmateur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Créateur,"Celui qui façonne, qui crée.",,LH
plébéien,,,,,V,-en/-enne,,C,Dérivation,en,N d’Adepte/de Partisan,,"Homme / femme du peuple, citoyen qui ne fait pas partie de la classe dirigeante",,LH
polkeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Danseur de polka,,LH
pontifiard,,,,,M,NP,,C,Dérivation,ard,N de Caractérisant,N de Défaut moral,Nom péjoratif pour désigner un pontife,,LH
prodige,,,,,M,NP,,NC,NP,NP,N de Caractérisant,N de Qualité morale,Personne exceptionnellement douée,,LH
profane,,,,,E,NP,,NC,NP,NP,N d’Adepte/de Partisan,,Personne qui ne fait pas partie d'un groupe religieux ou qui s'y oppose,,LH
professionnel,,,,,V,-el/-elle,,C,Dérivation,el,N d'Agent,N de Profession ,"Personne qui connaît parfaitement un métier donné, qui en est expert",,LH
programmateur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui s'occupe de la programmation et qui gère le temps des programmes.,,LH
prolétaire,,,,,E,NP,,C,Dérivation,aire,N de Caractérisant,,"Personne qui appartient à la couche la plus pauvre de la société, qui ne possède rien en propriété.",,LH
prostitué,,,,,V,-/-e,,C,Dérivation,é,N d'Agent,N de Profession ,Personne qui fait commerce de son corps,,LH
Putéolien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Habitant de Puisieux-et-Clanlieu (Aisne) ou de Puteaux (Hauts-de-Seine),,LH
quadragénaire,,,,,E,NP,,C,Dérivation,aire,N d’Âge,,Personne qui a entre quarante et cinquante ans,,MH
qualiticien,,,,,V,-en/-enne,,C,Dérivation,ien,N d'Agent,N de Profession ,Personne chargée d'améliorer la qualité des produits d'une entreprise,,MH
quatorziémiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui est spécialisée dans la littérature française du quatorzième siècle.,,MH
quémandeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,"Personne qui quémande, qui a l'habitude de quémander.",,MH
questionneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,"Personne qui questionne, qui aime ou qui a l'habitude de questionner.",,MH
quêteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui fait la quête,,MH
quilleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui joue aux quilles,,MH
Quimperlois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite ou originaire de Quimperlé.,,MH
quincaillier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui vend de la quincaillerie,,MH
quinquagénaire,,,,,E,NP,,C,Dérivation,aire,N d’Âge,,Personne qui a entre cinquante et soixante ans,,MH
Quinsacois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite ou est originaire de Quinsac.,,MH
quintettiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N d’Interprète,Personne qui joue ou chante dans un quintette,,MH
quinziémiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui est spécialisée dans littérature française du quinzième siècle.,,MH
rabâcheur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral,Personne qui rabâche.,,PC
Rabastinois,,,,,V,Autre,-ois/-oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite Rabastens,,PC
Rabati,,,,,E,NP,,C,Dérivation,NP,N de Population (Gentilé), Ville,Personne qui habite Rabat,,PC
raboteur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui rabote (par profession),,PC
rabroueur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral,"Personne qui rabroue, qui traite avec rudesse ses interlocuteurs.",,PC
racaille,,,,,F,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,"Terme dépréciatif pour désigner un ensemble d'individus louches, qui ne respectent pas la loi.",,PC
raccommodeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui raccommode.,,PC
raciste,,,,,E,NP,,C,Dérivation,iste,N de Caractérisant,N de Défaut moral,Personne qui prône une hiérarchie des races chez les humains et fait preuve de racisme dans son comportement.,,PC
racketteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui commet des rackets.,,PC
Radenacois,,,,,M,Autre,-ois/-oise,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite Radenac,,PC
radiesthésiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Personne qui pratique la radiesthésie,,PC
radioreporter,,,,,M,NP,,P,Composition,NP,N d'Agent,N de Profession ,Personne qui réalise des reportages pour la radio. Terme vieilli.,,PC
radiotélégraphiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui transmet des messages par télégraphie. Terme daté.,,PC
radiotéléphoniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,"Personne qui peut manoeuvrer les stations de radiotéléphonie (maritime, fluviale, aéronautique).",,PC
radiothérapeute,,,,,E,NP,,P,Composition,NP,N d'Agent,N de Profession ,Personne du milieu médical spécialiste de radiothérapie.,,PC
radiothérapiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne du milieu médical spécialisé en radiothérapie. Voir radiothérapeute.,,PC
rafistoleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui pratique le rafistolage. ,,PC
rafleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,"Personne qui effectue des raffles, des vols.",,PC
raillard,,,,,V,Autre,raillard / raillarde,C,Dérivation,ard,N de Caractérisant,,"Personne qui a l'habitude de railler, de se moquer.",,PC
railleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,,"Personne qui a l'habitude de railler, de se moquer. Voir raillard.",,PC
raisonneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,,"Personne qui est connue pour raisonner, discuter abondamment.",,PC
rajeunisseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui rajeunit des objets ou des personnes.,,PC
Rameruptien,,,,,V,Autre,-ien/-ienne,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite Ramerupt,,PC
rançonneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,"Personne qui rançonne, qui exploite financièrement.",,PC
randonneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,Personne qui pratique la randonnée.,,PC
récipiendaire,,,,,E,NP,,C,Dérivation,aire,N de Bénéficiaire,,Personne en l'honneur de qui a lieu une cérémonie de réception.,,PC
religieux,,,,,V,-eux/-euse,,C,Dérivation,eux,N d’Adepte/de Partisan,,Personne qui pratique une religion.,,PC
rémissionnaire,,,,,E,NP,,C,Dérivation,aire,N de Bénéficiaire,,Personne qui était porteuse de lettres de rémission. Daté.,,PC
rempailleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne chargée de rempailler des chaises.,,PC
remplaçant,,,,,V,-/-e,,C,Dérivation,ant,N Relationnel ,,Personne qui remplace une autre personne.,,PC
renardier,,,,,V,Autre,renardier / renardière,C,Dérivation,ier,N d'Agent,N de Pratique ,Personne chargée de détruire les renards. Rare.,,PC
rentier,,,,,V,-er/-ère,,C,Dérivation,ier,N de Bénéficiaire,,Personne qui vit de revenus non liés à l'exercice d'une profession.,,PC
responsable des ressources humaines,,,,,E,NP,,P,Composition,NP,N d'Agent,N de Profession ,"Personne qui gère le personnel dans une entreprise ou une administration (recrutement, formation, gestion des emplois, etc.)",,PC
restaurateur d'oeuvres d'art,,,,,V,-eur/-atrice,,P,Composition,ateur,N d'Agent,N de Profession ,Personne qui restaure des oeuvres d'art.,,PC
romancier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Créateur,Personne qui écrit des romans.,,PC
rossignol,,,,,M,NP,,NC,NP,NP,N d'Agent,N d’Interprète,Personne qui chante admirablement.,,PC
roulure,,,,,F,NP,,C,Dérivation,ture (t)ure,N de Caractérisant,N de Défaut moral,Terme insultant pour stigmatiser une prostituée ou une femme de moeurs libres.,,PC
roussiot,,,,,V,-ot/-otte,,C,Dérivation,ot,N de Caractérisant,,Personne qui a les cheveux roux.,,PC
routier,,,,,M,NP,,C,Dérivation,ier,N d'Agent,N de Profession ,Homme qui conduit un poids lourd. Le féminin (routière) semble peu attesté.,,PC
royaliste,,,,,E,NP,,C,Dérivation,iste,N d’Adepte/de Partisan,,Personne adepte de la royauté.,,PC
rubanier,,,,,V,Autre,rubanier / rubanière,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui fabrique et/ou vend des rubans.,,PC
rubricaire,,,,,M,NP,,C,Dérivation,aire,N d'Agent,N de Spécialité,Personne spécialiste des rubriques des livres liturgiques. L'emploi au féminin ne semble pas attesté.,,PC
rugbyman,,,,,M,NP,,P,Composition,NP,N d'Agent,N de Pratique ,Homme qui joue au rugby.,,PC
rugbywoman,,,,,F,NP,,P,Composition,NP,N d'Agent,N de Pratique ,Femme qui joue au rugby.,,PC
rugisseur,,,,,M,NP,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral,"Personne qui parle avec force, qui rugit. Non attesté au féminin.",,PC
rumineur,,,,,V,-eur/-euse,,C,Dérivation,eur,N de Caractérisant,N de Défaut moral,Personne qui rumine.,,PC
rumineux,,,,,V,-eux/-euse,,C,Dérivation,eux,N de Caractérisant,N de Défaut moral,Personne tourmentée par une idée fixe.,,PC
runologue,,,,,E,NP,,C,Dérivation,NP,N d'Agent,N de Spécialité,Personne spécialiste de l'écriture runique.,,PC
rustaud,,,,,V,Autre,rustaud / rustaude,C,Dérivation,NP,N de Caractérisant,N de Défaut moral,"Terme utilisé de façon péjorative pour attribuer à une personne les traits de paysan, de manque de finesse.",,PC
rustre,,,,,M,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,"Homme grossier, vulgaire, brutal, sans éducation.",,PC
saboteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui sabote.,,RH
sabotier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Créateur,Personne qui fabrique des sabots.,,RH
sabrais,,,,,V,-/-e,,C,Dérivation,ais,N de Population (Gentilé), Ville,Personne qui habite à Sabres.,,RH
sabretache,,,,,F,NP,,C,Autre,NP,N de Possesseur,,Personne qui porte une sabretache.,,RH
saccageur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui saccage.,,RH
sacrifié,,,,,V,-/-e,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui est sacrifiée.,,RH
sage,,,,,E,NP,,C,Conversion,NP,N de Caractérisant,N de Qualité morale,Personne qui est sage.,,RH
sage-femme,,,,,F,NP,,C,Composition,NP,N d'Agent,N de Profession ,Personne qui aide à l'accouchement.,,RH
sagouin,,,,,V,-/-e,,NC,NP,NP,N de Caractérisant,,"Personne qui est sale, malpropre.",,RH
sahurien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Sahurs.,,RH
saigneur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,,Personne qui pratique des saignées.,,RH
saincaizois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Saincaize-Meauce.,,RH
saint-nazairien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé), Ville,Personne qui habite à Saint-Nazaire.,,RH
saint-polois,,,,,V,-/-e,,C,Dérivation,ois,N de Population (Gentilé), Ville,Personne qui habite à Saint-Pol-sur-Mer.,,RH
saisonnier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui effectue des travaux de saison.,,RH
sans-abri,,,,,E,NP,,C,Composition,NP,N de Statut,,Personne qui n'a pas de logement.,,RH
sans-logis,,,,,E,NP,,C,Composition,NP,N de Statut,,Personne qui n'a pas de logement.,,RH
sataniste,,,,,E,NP,,C,Dérivation,iste,N d’Adepte/de Partisan,,Personne qui rend un culte à Satan.,,RH
savonnier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,,Personne qui fabrique ou vend du savon. ,,RH
saxophoniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,,Personne qui joue du saxophone.,,RH
scaphandrier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,,Personne qui plonge équipée d'un scaphandre.,,RH
scélérat,,,,,V,-/-e,,NC,NP,NP,N de Caractérisant,N de Défaut moral,Personne qui commet des mauvaises actions.,,RH
scénariste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Créateur,Personne qui écrit des scénarios.,,RH
scénographe,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Créateur,Personne qui conçoit le décor d'un spectacle ou l'agencement d'une exposition.,,RH
scrabbleur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui joue au scrabble.,,RH
scribe,,,,,M,NP,,NC,NP,NP,N d'Agent,,Personne qui est employée aux écritures.,,RH
sculpteur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Créateur,Personne qui sculpte.,,RH
secrétaire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,N de Profession ,"Personne qui rédige certaines pièces officielles, qui s'occupe de l'organisation et du fonctionnement d'une société ou d'un organisme.",,RH
séducteur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,,Personne qui a l'habitude de séduire.,,RH
sélectionneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui procède à des sélections.,,RH
sellier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,,Personne qui fabrique ou vend des selles ou tout ce qui concerne le harnachement du cheval.,,RH
semeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui sème le grain.,,RH
serpent,,,,,M,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,Personne qui est rusée et malfaisante.,,RH
serrurier,,,,,M,NP,,C,Dérivation,ier,N d'Agent,N de Profession ,"Personne qui fabrique, vend, répare des serrures.",,RH
serveur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui est chargée de servir les clients dans un bar ou un restaurant.,,RH
shampooineur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui est chargée de faire des shampoings.,,RH
sidérurgiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui travaille dans la sidérurgie.,,RH
signataire,,,,,E,NP,,C,Dérivation,aire,N d'Agent,,Personne qui signe un document.,,RH
skieur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui fait du ski.,,RH
slalomeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui slalome.,,RH
soigneur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui est chargée de donner les soins nécessaires à un sportif.,,RH
soliste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,,Personne qui exécute un solo ou un morceau écrit pour une seule voix ou un seul instrument.,,RH
sommelier,,,,,V,-er/-ère,,NC,NP,NP,N d'Agent,N de Profession ,"Personne qui a la charge de la cave, dans un restaurant.",,RH
sondeur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui pratique des sondages.,,RH
souffleur de verre,,,,,V,-eur/-euse,,P,NP,NP,N d'Agent,,Personne qui souffle le verre.,,RH
spectateur,,,,,V,-eur/-atrice,,Autre,NP,NP,N d'Agent,,Personne qui assiste à un spectacle.,,RH
spéculateur,,,,,V,-eur/-rice,,C,Dérivation,eur,N d'Agent,,Personne qui fait des spéculations financières pour tirer profit des variations du marché.,,RH
standardiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui est chargée du service d'un standard téléphonique.,,RH
surveillant,,,,,V,-/-e,,C,Conversion,NP,N d'Agent,,Personne qui surveille.,,RH
suspect,,,,,M,NP,,C,Conversion,NP,N de Patient/Déverbal passif,,Personne qui est suspectée d'un crime ou d'un délit.,,RH
taekwondoka,,,,,E,NP,,NC,NP,NP,N d'Agent,N de Pratique ,"Personne pratiquant le taekwondo, taekwondoïste",,SL
tandémiste ,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Cycliste qui roule en tandem.,,SL
Tanzanien,,,,,V,-en/-enne,,C,Dérivation,ien,N de Population (Gentilé),,Habitant de Tanzanie,,SL
tarbais,,,,,V,-/-e,,C,Dérivation,ais,N d’Habitant,,Habitant de Tarbes,,SL
taulard ,,,,,V,-/-e,,C,Dérivation,ard,N d’Habitant,,Celui qui est en taule,,SL
taxidermiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Profession ,Personne qui pratique la taxidermie,,SL
tchèque,,,,,E,NP,,NC,NP,NP,N d’Habitant,,"Habitant  de la région formée par la Bohême, et la Moravie-Silésie ou qui en est originaire.",,SL
torontois,,,,,V,-/-e,,C,Dérivation,ois,N d’Habitant,,Habitant de Toronto,,SL
toulousain,,,,,V,-/-e,,C,Dérivation,ain,N d’Habitant,,Habitant de Toulouse,,SL
trampoliniste ,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Personne qui pratique le trampoline,,SL
trapéziste ,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Pratique ,Gymnaste ou acrobate qui fait des acrobaties au trapèze,,SL
traumatologiste ,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Médecin spécialiste de la traumatologie.,,SL
treiziémiste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Spécialiste du XIIIème siècle,,SL
trentenaire,,,,,E,NP,,C,Dérivation,aire,N d’Âge,,Personne ayant une trentaine d'année,,SL
ultramontain,,,,,V,-ain/-ine,,NC,NP,NP,N d’Habitant,,Personne qui habite au-delà des montagnes (spécialement des Alpes) par rapport à la France ,,SM
universitaire,,,,,E,NP,,C,Dérivation,aire,N de Statut,Membre,Personne qui est membre d'une université,,SM
urbain,,,,,V,-/-e,,C,Conversion,NP,N d’Habitant,,Personne qui habite la ville,,SM
urbaniste,,,,,E,NP,,C,Dérivation,iste,N d'Agent,N de Spécialité,Personne qui est spécialiste dans l'aménagement des espaces urbains,,SM
urologue,,,,,M,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Personne qui est médecin spécialisé en urologie,,SM
usager,,,,,V,-er/-ère,,C,Dérivation,er,N d'Agent,,"Personne qui utilise un service, un domaine, un ouvrage",Personne qui est titulaire d'un droit réel d'usage,SM
useur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,,Personne qui use par le frottement,,SM
usineur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Profession ,Personne qui travaille sur une machine-outil (ouvrier spécialisé),,SM
usinier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,,"Personne qui dirige, exploite une usine",,SM
usurier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Profession ,Personne qui pratique l'usure,,SM
usurpateur,,,,,V,-eur/-rice,,NC,NP,NP,N de Caractérisant,,"Personne qui, par ruse ou par violence, s'empare d'un bien, d'un pouvoir, d'une dignité, d'un titre ne lui appartenant pas ou auquel il ne peut prétendre",,SM
utilitariste,,,,,E,NP,,C,Dérivation,iste,N d’Adepte/de Partisan,,Personne qui est partisane de l'utilitarisme,,SM
utopiste,,,,,E,NP,,C,Dérivation,iste,N de Caractérisant,,Personne qui conçoit ce qui paraît irréalisable,,SM
utriculaire,,,,,M,NP,,NC,NP,NP,N d'Agent,,Personne qui traversait les fleuves et les rivières sur un radeau porté par des outres gonflées,,SM
va-nu-pieds,,,,,E,NP,,C,Composition,NP,N de Caractérisant,N de Défaut moral,"Vagabond, misérable",,VL
vacancier,,,,,V,-er/-ère,,C,Dérivation,ier,N d'Agent,N de Pratique ,Personne qui est en vacances,,VL
vacataire,,,,,E,NP,,C,Dérivation,aire,N de Statut,,Personne qui est rémunérée à la vacation,,VL
vacher,,,,,V,-er/-ère,,C,Dérivation,er,N d'Agent,N de Profession ,"Celui qui, dans une ferme, s'occupe plus particulièrement des vaches",,VL
vainqueur,,,,,M,NP,,C,Dérivation,eur,N d'Agent,,Celui qui a remporté une victoire,,VL
valet,,,,,M,NP,,NC,NP,NP,N d'Agent,N de Profession ,Serviteur,,VL
valseur,,,,,V,-eur/-euse,,C,Dérivation,eur,N d'Agent,N de Pratique ,personne qui valse ou qui sait valser,,VL
vampirologue,,,,,E,NP,,C,Composition,NP,N d'Agent,N de Spécialité,Celui qui étudie les vampires,,VL
vandale,,,,,E,NP,,NC,NP,NP,N de Caractérisant,N de Défaut moral,"Personne qui détruit un monument, qui abîme une œuvre d’art",,VL
vassal,,,,,V,-/-e,,NC,NP,NP,N Relationnel ,Société,Personne liée à un seigneur par l'obligation de foi et hommage.,,VL
